0.078,0.05,0.043,0.051,0.073,0.108,0.12,0.243,0.386
0.065,0.051,0.07,0.042,0.08,0.117,0.156,0.232,0.383
0.059,0.053,0.05,0.084,0.098,0.105,0.181,0.348,0.646
0.045,0.065,0.044,0.055,0.089,0.163,0.332,0.546,1.056
0.064,0.062,0.081,0.117,0.19,0.296,0.575,1.03,1.907
0.089,0.056,0.138,0.189,0.298,0.568,1.099,2.006,3.752
0.052,0.129,0.197,0.306,0.523,1.091,2.076,3.934,7.37
